Geography,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Canada,"37,909,001","37,986,182","38,007,166","38,007,048","38,043,450","38,124,373","38,226,498","38,426,473","38,516,138","38,644,920","38,929,902","39,292,355"
Newfoundland and Labrador,"523,345","522,505","521,359","520,203","519,736","519,694","520,452","521,854","522,501","523,043","525,972","528,818"
Prince Edward Island,"159,369","160,390","161,305","161,455","161,662","162,866","164,758","166,435","166,858","168,358","170,688","172,707"
Nova Scotia,"977,498","979,075","981,691","981,266","981,793","985,238","991,117","998,387","1,002,441","1,007,360","1,019,725","1,030,953"
New Brunswick,"780,677","782,092","782,996","783,354","784,472","786,529","790,398","795,851","799,245","802,862","812,061","820,786"
Quebec,"8,559,876","8,574,709","8,576,595","8,578,733","8,579,010","8,585,460","8,602,335","8,630,187","8,637,650","8,650,692","8,695,659","8,751,352"
Ontario,"14,686,092","14,718,133","14,726,022","14,721,852","14,740,102","14,773,618","14,809,257","14,901,607","14,940,912","14,996,014","15,109,416","15,262,660"
Manitoba,"1,377,248","1,379,138","1,379,888","1,381,572","1,384,025","1,388,726","1,391,979","1,395,430","1,398,303","1,401,967","1,409,223","1,420,228"
Saskatchewan,"1,179,135","1,179,409","1,178,467","1,177,980","1,179,119","1,181,040","1,181,493","1,182,984","1,185,311","1,188,338","1,194,803","1,205,119"
Alberta,"4,401,362","4,414,332","4,416,682","4,421,857","4,429,077","4,436,944","4,443,773","4,466,124","4,482,385","4,502,858","4,543,111","4,601,314"
British Columbia,"5,138,710","5,150,199","5,155,495","5,151,920","5,157,293","5,176,360","5,202,378","5,238,713","5,251,578","5,273,809","5,319,324","5,368,266"
Yukon,"41,699","42,015","42,163","42,327","42,401","42,719","43,250","43,373","43,241","43,518","43,789","43,964"
Northwest Territories 5,"45,270","45,351","45,346","45,275","45,355","45,660","45,597","45,607","45,710","45,698","45,605","45,602"
Nunavut 5,"38,720","38,834","39,157","39,254","39,405","39,519","39,711","39,921","40,003","40,403","40,526","40,586"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 17-10-0009-01  Population estimates, quarterly",,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901,,,,,,,,,,,,
